,RoundNumber,Country,Location,EventName,Session1,Session2,Session3,Session4,Session5,Year,ID,Laps
0,1,Australia,Melbourne,Australian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,989,58
1,2,Bahrain,Sakhir,Bahrain Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,990,57
2,3,China,Shanghai,Chinese Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,991,56
3,4,Azerbaijan,Baku,Azerbaijan Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,992,51
4,5,Spain,Barcelona,Spanish Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,993,66
5,6,Monaco,Monte Carlo,Monaco Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,994,78
6,7,Canada,Montréal,Canadian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,995,68
7,8,France,Le Castellet,French Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,996,53
8,9,Austria,Spielberg,Austrian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,997,71
9,10,Great Britain,Silverstone,British Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,998,52
10,11,Germany,Hockenheim,German Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,999,67
11,12,Hungary,Budapest,Hungarian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,1000,70
12,13,Belgium,Spa-Francorchamps,Belgian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,1001,44
13,14,Italy,Monza,Italian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,1002,53
14,15,Singapore,Singapore,Singapore Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,1003,61
15,16,Russia,Sochi,Russian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,1004,53
16,17,Japan,Suzuka,Japanese Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,1005,53
17,18,United States,Austin,United States Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,1006,56
18,19,Mexico,Mexico City,Mexican Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,1007,71
19,20,Brazil,São Paulo,Brazilian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,1008,71
20,21,United Arab Emirates,Yas Marina,Abu Dhabi Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2018,1009,55
21,1,Australia,Melbourne,Australian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1010,58
22,2,Bahrain,Sakhir,Bahrain Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1011,57
23,3,China,Shanghai,Chinese Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1012,56
24,4,Azerbaijan,Baku,Azerbaijan Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1013,51
25,5,Spain,Barcelona,Spanish Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1014,66
26,6,Monaco,Monte Carlo,Monaco Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1015,78
27,7,Canada,Montréal,Canadian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1016,70
28,8,France,Le Castellet,French Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1017,53
29,9,Austria,Spielberg,Austrian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1018,71
30,10,Great Britain,Silverstone,British Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1019,52
31,11,Germany,Hockenheim,German Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1020,64
32,12,Hungary,Budapest,Hungarian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1021,70
33,13,Belgium,Spa-Francorchamps,Belgian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1022,44
34,14,Italy,Monza,Italian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1023,53
35,15,Singapore,Singapore,Singapore Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1024,61
36,16,Russia,Sochi,Russian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1025,53
37,17,Japan,Suzuka,Japanese Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1026,52
38,18,Mexico,Mexico City,Mexican Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1027,71
39,19,United States,Austin,United States Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1028,56
40,20,Brazil,São Paulo,Brazilian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1029,71
41,21,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2019,1030,55
42,1,Austria,Spielberg,Austrian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1031,71
43,2,Austria,Spielberg,Styrian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1032,71
44,3,Hungary,Budapest,Hungarian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1033,70
45,4,Great Britain,Silverstone,British Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1034,52
46,5,Great Britain,Silverstone,70th Anniversary Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1035,52
47,6,Spain,Barcelona,Spanish Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1036,66
48,7,Belgium,Spa-Francorchamps,Belgian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1037,44
49,8,Italy,Monza,Italian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1038,53
50,9,Italy,Mugello,Tuscan Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1039,59
51,10,Russia,Sochi,Russian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1040,53
52,11,Germany,Nürburgring,Eifel Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1041,60
53,12,Portugal,Portimão,Portuguese Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1042,66
54,13,Italy,Imola,Emilia Romagna Grand Prix,Practice 1,,,Qualifying,Race,2020,1043,63
55,14,Turkey,Istanbul,Turkish Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1044,58
56,15,Bahrain,Sakhir,Bahrain Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1045,57
57,16,Bahrain,Sakhir,Sakhir Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1046,87
58,17,Abu Dhabi,Yas Island,Abu Dhabi Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2020,1047,55
59,1,Bahrain,Sakhir,Bahrain Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1052,56
60,2,Italy,Imola,Emilia Romagna Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1053,63
61,3,Portugal,Portimão,Portuguese Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1054,66
62,4,Spain,Barcelona,Spanish Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1055,66
63,5,Monaco,Monte Carlo,Monaco Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1056,78
64,6,Azerbaijan,Baku,Azerbaijan Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1057,51
65,7,France,Le Castellet,French Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1059,53
66,8,Austria,Spielberg,Styrian Grand Prix,Practice 1,Practice 2,Practice 3,Qualifying,Race,2021,1058,71
